Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 EcoBoost,10FDOX,998,74,100,10/12 →
1.0 EcoBoost,C10FDOX (B7DA),998,92,125,10/12 →
1.5 EcoBoost,,1499,110,150,03/15 →
1.5 EcoBoost,,1499,134,182,03/15 →
1.5 TDCi,15DSOX,1499,70,95,03/15 →
1.5 TDCi,15DSOX,1499,77,105,03/15 →
1.5 TDCi,15DSOX,1499,88,120,03/15 →
1.6,Duratec,1596,77,105,09/10 →
1.6,Duratec,1596,92,125,09/10 → 12/14
1.6 EcoBoost,,1596,110,150,09/10 →
1.6 EcoBoost SCTi,,1596,134,182,09/10 →
1.6 TDCi,Duratorq,1560,70,95,09/10 →
1.6 TDCi,Duratorq,1560,85,115,09/10 →
"1.6, 1.6 Flexifuel",Duratec,1596,63,85,09/11 →
"1.6, 1.6 LPG, 1.6 CNG",Duratec,1596,88,120,02/12 → 12/14
2.0 Energi,UADA,1999,136,185,09/14 → 06/19
2.0 TDCi,Duratorq,1997,85,115,09/10 →
2.0 TDCi,Duratorq,1997,100,136,02/11 →
2.0 TDCi,Duratorq,1997,103,140,09/10 →
2.0 TDCi,,1997,110,150,03/15 →
2.0 TDCi,Duratorq,1997,120,163,09/10 →
2.0 TDCi,,1997,125,170,03/15 →
