Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 EcoBoost,,998,103,140,03/16 →
1.0 EcoBoost,SFJL,998,74,101,04/18 →
1.0 EcoBoost,10FDOX (Fox),998,92,125,01/14 →
1.0 EcoBoost,,998,70,95,04/20 →
1.5 TDCI (CR6),,1498,74,100,05/15 →
1.5 TDCI EcoBlue (CR6),,1498,92,125,12/17 →
1.5 TDCi,15DSOX,1498,66,90,01/14 →
1.5 TDCi,15DSOX,1498,70,95,05/15 →
1.5 TDCi EcoBlue,,1499,74,100,11/17 →
1.5 TDCi EcoBlue,,,88,120,11/19 →
1.5 Ti-VCT,Duratec,1498,82,112,01/14 → 09/17
1.5Ti-VCT,,1498,81,110,10/13 →
1.6 16V Ti-VCT,,1596,90,122,08/12 →
2.0 16V,,1999,103,140,08/12 →
