Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1,GSG,1087,37,50,05/86 → 07/90
1.1,GLB,1087,37,50,03/81 → 12/85
1.3,JPA,1271,51,69,03/81 → 12/85
1.3,JBD,1299,46,63,07/90 → 12/94
1.3,,1264,46,63,07/88 → 07/90
1.3,"JBB, JLA, JLB",1297,44,60,02/86 → 07/90
1.4,F6G,1391,52,71,07/90 → 12/94
1.4,F4B,1391,54,73,01/95 → 08/00
1.4i,"F6B, F6D, FUC",1392,54,73,01/86 → 07/90
1.6,,1597,60,81,02/86 → 07/92
1.6,,1567,61,84,03/81 → 12/85
1.6 D,LTA,1597,40,54,04/84 → 12/85
1.7 D,,1753,44,60,07/88 → 07/90
1.8 D,RTH,1753,44,60,07/90 → 12/94
1.8 D,RVA,1753,51,70,12/95 → 10/98
1.8 D,RTH,1753,44,60,01/95 → 08/00
