Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1 (GAF),,1087,37,50,12/85 → 08/90
1.1,GSG,1117,37,50,01/86 → 07/90
1.3,JBB,1297,44,60,01/86 → 07/90
1.3,,1296,51,69,11/86 → 07/88
1.3 (GAF),,1264,46,63,07/88 → 08/90
1.4,,1392,51,70,10/85 → 10/90
1.4,FUC/F6B-D,1392,54,73,01/86 → 07/90
1.4,FUA,1392,55,75,01/86 → 07/90
1.6,L4B,1597,66,90,07/85 → 07/90
1.6,,1597,58,79,01/86 → 07/90
1.6,LUG,1567,65,88,04/89 → 07/90
1.6,LJB,1597,75,102,08/89 → 07/90
1.6 D,LTC,1597,40,55,01/86 → 01/89
1.6 RS Turbo,LNB,1597,97,132,01/86 → 07/90
1.6 XR3i,LRB/LR2,1597,77,105,01/86 → 07/90
1.8 D Turnier,RTB,1753,44,60,07/88 → 11/90
