Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,J6A,1299,44,60,09/92 → 08/97
1.4,F6G,1391,52,71,09/92 → 01/95
1.4,F4B,1391,54,73,01/95 → 12/96
1.4,FUH,1391,55,75,01/94 → 01/95
1.6i 16V,L1E,1597,66,90,09/92 → 01/95
1.6i 16V,L1H,1597,65,88,01/94 → 01/95
1.8 16V XR3i,RDA,1796,77,105,02/92 → 01/95
1.8 16V XR3i,RQB,1796,96,130,02/92 → 01/95
1.8 16V XR3i 4X4,RDA,1796,77,105,08/93 → 01/95
1.8 16V XR3i 4X4,RQB,1796,96,131,08/93 → 01/95
1.8 D,RTH,1753,44,60,09/92 → 01/95
1.8 TD,RFK,1753,66,90,02/93 → 01/95
1.8i 16V Turnier,RQB,1796,96,130,02/93 → 01/95
2.0 16V RS 4X4,N7A,1998,110,150,08/93 → 01/95
2.0 16V RS Cosworth,N5F,1994,162,220,09/92 → 01/95
