Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (FBD),TKB,957,33,45,09/83 → 02/89
1.0 (FVD),,957,33,45,08/83 → 11/89
1.1 (FBD),GSF,1117,37,50,09/83 → 02/89
1.1 (FBD),GSH,1117,36,49,05/86 → 02/89
1.3 (FBD),JPC,1296,51,69,09/83 → 01/87
1.4 (FBD),FUD,1392,54,73,02/87 → 02/89
1.4 (FBD),FUBA,1392,51,69,09/83 → 01/87
1.4 (FBD),FUB,1392,55,75,10/85 → 11/89
1.4 (FBD),F6C,1392,52,71,10/86 → 02/89
1.6 D (FBD),LTB,1608,40,54,04/84 → 02/89
1.6 XR2 (FBD),LUD,1597,70,95,03/84 → 02/89
1.6 XR2 (FBD),LUB,1597,71,97,04/84 → 02/89
