Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (GFJ),TLB,999,33,45,03/89 → 08/96
1.1 (GFJ),GUD/GUE,1119,40,55,03/89 → 08/96
1.1 (GFJ),G6A,1119,37,50,01/89 → 08/96
1.3 (GFJ),JBC,1299,44,60,03/89 → 08/96
1.4 (GFJ),F6E,1391,52,71,02/89 → 03/95
1.4 (GFJ),FUG/F4A/FUJ,1391,54,73,03/89 → 07/96
1.4 (GFJ),F6E,1391,52,71,02/89 → 08/96
1.6 (GFJ),LUH,1597,65,88,01/89 → 01/94
1.6 Turbo (GFJ/FBJT),LHA,1598,96,131,03/90 → 10/92
1.6 XR2i (GFJ),LJD,1598,76,103,03/89 → 08/96
1.6 XR2i (GFJ),LJC,1597,81,110,03/89 → 08/96
1.6i 16V (GFJ),L1G,1597,65,88,01/94 → 08/96
1.8 16V (GFJ),RDB,1796,77,105,02/92 → 08/96
1.8 D (GFJ),RTC,1753,44,60,03/89 → 08/96
1.8 TD (GFJ),,1753,57,77,03/93 → 08/96
1.8 XR2i 16V (GFJ),RQC,1796,96,130,02/92 → 08/96
