Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 16V,Zetec,1388,55,75,09/98 → 12/04
1.6 16V,Zetec,1596,74,100,09/98 → 12/04
1.8 16V,EYD Zetec,1796,85,115,09/98 → 12/04
1.8 DI,"BHDA, BHDB",1753,55,75,10/99 → 12/04
1.8 TDCi,F9DA/DB,1796,85,115,03/01 → 12/04
1.8 TDCi,FFDA,1796,74,100,09/02 → 12/04
1.8 TDDi,C9DA/B/C,1753,66,90,09/98 → 12/04
2.0 RS,Duratec-RS,1988,158,215,10/02 → 12/03
2.0 RS Turbo,Duratec-RS,,164,220,09/01 → 12/03
2.0 16V,Zetec,1988,96,131,09/98 → 12/04
2.0 ST170,Duratec-ST,,125,170,09/01 → 12/04
