Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 16V,Duratec,1388,59,80,11/04 → 09/12
1.6 16V,Duratec (G8DC),1596,74,100,11/04 → 09/12
1.6 16V Ti-VCT,Duratec,1596,85,115,11/04 → 09/12
1.6 TDCi,Duratorq,1560,80,109,11/04 → 09/12
1.6 TDCi,Duratorq,1560,66,90,05/05 → 09/12
1.6 TDCi,Duratorq,1560,74,100,04/05 → 09/12
"1.8 16V , 1.8 Flexifuel",Duratec,1798,92,125,03/04 → 09/12
1.8 16V BiFuel,"EYDD, EYDG, EYDI",1796,85,116,09/02 → 07/04
1.8 TDCi,Duratorq,1753,85,115,05/05 → 09/12
2.0 16V,Duratec,1999,107,145,11/04 → 09/12
2.0 TDCi,Duratorq,1997,81,110,05/07 → 07/11
2.0 TDCi,Duratorq,1997,100,136,11/04 → 08/11
2.5 RS,,2521,224,305,03/09 → 07/11
2.5 RS 500,,2521,257,350,05/10 → 07/11
2.5 ST,,2521,166,225,11/05 → 09/12
