Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 EcoBoost,10FDOX (Fox),998,74,100,03/12 →
1.0 EcoBoost,"10FDOX (Fox) /M1DA, M1DC, M1DD",998,92,125,03/12 →
1.0 EcoBoost,10FDOX (M1DH),998,103,140,10/17 →
1.5 EcoBoost,,1499,110,150,09/14 → 12/17
1.5 EcoBoost,,1499,134,182,09/14 → 12/18
1.5 TDCi,SOHC-DI-TC-DV5,1499,70,95,09/14 →
1.5 TDCi,SOHC-DI-TC-DV5,1499,77,105,09/14 →
1.5 TDCi,SOHC-DI-TC-DV5,1499,88,120,09/14 →
1.6 EcoBoost SCTi,Sigma,1596,110,150,03/11 → 10/14
1.6 EcoBoost SCTi,Sigma,1596,134,182,03/11 → 10/14
1.6 TDCi,SOHC-DV6,1560,70,95,03/11 →
1.6 TDCi,SOHC-DV6,1560,85,115,03/11 →
1.6 TDCi Econetic,SOHC-DV6C,1560,77,105,06/12 →
1.6 Ti-VCT,Zetec-S,1596,77,105,03/11 →
1.6 Ti-VCT,Zetec-S,1596,92,125,03/11 →
1.6 Ti-VCT,Zetec-S,1596,63,86,08/11 →
1.6 Ti-VCT Flexifuel,Zetec-S,1596,88,120,03/11 →
1.6 Ti-VCT LPG,Zetec-S,1596,86,117,07/12 →
2.0,,1999,110,150,10/13 →
2.0 16V Ti-Gdi (Duratec),I4 DI TIVCT / MGDA,2000,125,170,08/13 →
2.0 EcoBoost ST,,1999,184,250,06/12 →
2.0 TDCi,Duratorq,1997,85,115,03/11 → 06/14
2.0 TDCi,Duratorq,1997,103,140,03/11 → 06/14
2.0 TDCi,Duratorq,1997,110,150,09/14 →
2.0 TDCi,Duratorq,1997,120,163,03/11 → 06/14
2.0 TDCi ST,Duratorq,1997,136,185,12/14 →
2.3 RS Turbo,,2261,257,349,02/16 → 12/18
Electric,,,107,145,06/13 →
