Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 EcoBoost SCTI,,1596,118,160,11/10 → 06/15
1.6 TDCi,,1560,85,115,03/11 → 06/15
1.8 TDCi,QYWA,1753,74,100,05/06 → 06/15
2.0,,1999,107,145,05/06 → 06/15
2.0 EcoBoost SCTi,,1999,149,203,03/10 → 06/15
2.0 TDCi,,1997,103,140,05/06 → 06/15
2.0 TDCi,,1997,96,130,05/06 → 06/15
2.0 TDCi,,1997,120,163,03/10 → 06/15
2.0 TDCi,,1997,85,115,05/06 → 06/15
2.2 TDCi,,2179,129,175,03/08 → 12/12
2.2 TDCi,,2179,147,200,11/10 → 06/15
2.3 16V,,2261,118,160,10/07 → 06/10
