Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 EcoBoost,,1498,88,120,01/16 →
1.5 EcoBoost,,1499,129,176,08/18 →
1.5 EcoBoost,,1498,110,150,10/14 → 08/16
1.5 EcoBoost,,1498,134,182,10/14 → 08/16
1.5 EcoBoost E85,,1498,110,150,02/19 → 11/19
1.5 TDCi,C15DSOX,1499,88,120,07/16 →
1.6 EcoBoost SCTi,Sigma,1596,134,182,02/13 → 04/15
1.6 EcoBoost SCTi,Sigma,1596,110,150,02/13 →
2.0 EcoBoost,,1999,178,242,08/17 → 06/18
2.0 EcoBoost,,1999,169,230,03/19 →
2.0 TDCi,Duratorq,1997,85,116,02/13 →
2.0 TDCi,Duratorq,1997,88,120,10/14 →
2.0 TDCi,Duratorq (UFMA),1997,103,140,06/12 →
2.0 TDCi,Duratorq,1997,110,150,10/14 →
2.0 TDCi,Duratorq,1997,120,163,02/13 →
2.0 TDCi,Duratorq,1997,132,180,10/14 → 08/16
2.5,,2488,110,150,01/14 →
2.5,,2488,125,170,09/13 →
