Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8,Duratec CGBA/BB,1798,81,110,11/00 → 03/07
1.8,Duratec CHBA/BB,1798,92,125,11/00 → 03/07
1.8 SCi,CFBA,1798,96,130,07/03 → 03/07
2.0,Duratec CJBA/BB,1999,106,145,11/00 → 03/07
2.0 DI,Duratorq DI D5BA,1998,66,90,11/00 → 03/07
2.0 DI,PD20FMCR,1998,92,125,10/00 → 03/07
2.0 DI/TDDI/TDCI,"D6BA,HJBA/BB/BC,SDBA",1998,85,115,11/00 → 03/07
2.0 TDCi,"FMBA, N7BA",1998,96,130,09/01 → 03/07
2.2 TDCi,"QJBA, QJBB",2187,114,155,09/04 → 03/07
2.5 V6,Duratec LCBD,2495,125,170,11/00 → 03/07
3.0 ST220,MEBA,2967,166,226,09/01 → 03/07
3.0 V6,REBA,2967,150,204,08/04 → 03/07
