Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 EcoBoost SCTI,,1596,118,160,11/10 → 01/15
1.6 TDCi,,1560,85,115,03/11 → 01/15
1.6 Ti-VCT,,1596,81,110,04/07 → 01/15
1.6 Ti-VCT,,1596,92,125,04/07 → 01/15
1.6 Ti-VCT,,1596,88,120,09/10 → 01/15
1.8 TDCi,,1753,74,100,04/07 → 01/15
1.8 TDCi,,1753,92,125,06/07 → 01/15
2.0,,1999,107,145,04/07 → 01/15
2.0 EcoBoost SCTi,,1999,149,203,03/10 → 01/15
2.0 EcoBoost SCTi,,1999,176,240,09/10 → 01/15
2.0 Flexifuel-LPG,,1999,104,141,02/12 →
2.0 TDCi,Duratorq,1997,85,115,04/07 → 01/15
2.0 TDCi,Duratorq,1997,96,130,04/07 → 01/15
2.0 TDCi,Duratorq,1997,103,140,04/07 → 01/15
2.0 TDCi,Duratorq,1997,120,163,03/10 → 01/15
2.2 TDCi,,2179,129,175,03/08 → 10/10
2.2 TDCi,,2179,147,200,11/10 → 01/15
2.3 16V,,2261,118,160,10/07 → 06/10
2.5,,2521,162,220,04/07 → 06/10
