Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 EcoBoost (CNG),,999,92,125,02/15 →
1.5 EcoBoost (CNG),,1499,118,160,10/14 →
1.5 EcoBoost (CNG),UNCN,1499,121,165,05/18 →
1.5 TDCI (CNG),15DSOX,1499,88,120,03/15 →
1.6 TDCi (CNG),SOHC-DV6,1560,85,115,10/14 →
2.0 Eco Blue (CE),,1995,88,120,01/19 →
2.0 Eco Blue (CE),,1995,110,150,01/19 →
2.0 Eco Blue (CE),,1995,140,190,01/19 →
2.0 EcoBoost (CNG),,1999,149,203,10/14 →
2.0 EcoBoost (CNG),,1999,176,240,10/14 → 07/16
2.0 Hybrid (CNG),,1999,130,177,10/14 →
2.0 Hybrid iVCT,,1999,138,188,01/19 →
2.0 TDCi (CNG),Duratorq,1997,110,150,10/14 →
2.0 TDCi (CNG),Duratorq,1997,132,180,10/14 →
2.0 TDCi Bi-Turbo (CNG),,1997,154,209,03/15 →
2.5 (CNG),C25HDEX,2489,110,150,05/15 →
