Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,JPA,1296,51,69,07/83 → 03/86
1.3,"JBB, JLB, JLA",1292,44,60,12/85 → 07/90
1.3,,1296,51,69,11/86 → 07/88
1.3,JBE,1299,44,60,07/90 → 07/93
1.4,FUA,1392,55,75,12/85 → 07/90
1.4,F6B,1392,52,72,03/86 → 07/90
1.4,,1392,54,73,07/86 → 07/90
1.4,FUC,1392,54,73,02/87 → 07/90
1.4,F6G,1391,52,71,07/90 → 07/93
1.4 (GAL),,1392,54,73,07/90 → 12/93
1.6,LPA,1597,58,79,07/83 → 03/86
1.6,,1597,66,90,12/85 → 07/90
1.6,L4B,1597,66,90,03/86 → 07/90
1.6,LJB,1597,75,102,08/89 → 07/90
1.6 (GAL),,1598,66,90,07/90 → 12/92
1.6 D,LTA,1597,40,54,02/84 → 03/86
1.6 D,LTC,1597,40,54,03/86 → 07/90
1.6i,LRA,1597,77,105,07/83 → 03/86
1.6i,LRB,1597,77,105,03/86 → 07/90
1.6i 16V,LJF,1598,77,105,07/90 → 09/92
1.6i 16V,LUK,1597,66,90,07/92 → 07/93
1.8 D,RTB,1753,44,60,01/89 → 07/90
1.8 D,RTH,1753,44,60,11/90 → 07/93
1.8 TD,RFK,1753,66,90,03/92 → 07/93
1.8i 16V,,1796,96,131,01/92 → 12/93
1.8i 16V,RDA,1796,77,105,02/92 → 07/93
