Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,JCT,1285,44,60,07/82 → 11/89
1.6,LSE,1597,55,75,01/87 → 02/93
1.6,LSF,1597,53,72,01/88 → 02/93
1.6i,L6B CVH-CFI,1597,59,80,10/89 → 02/93
1.8,"R2A, RED",1796,66,90,01/87 → 02/93
1.8,REF OHC,1796,59,80,10/87 → 05/88
1.8 TD,RFL,1753,55,75,08/88 → 02/93
1.8i,R2C CVH-CFI,1796,64,87,05/88 → 03/92
1.8i CFI,R2C CVH-CFI,1796,64,87,04/92 → 02/93
2.0,NES,1993,77,105,01/87 → 02/93
2.0 16V Cosworth 4x4,N5C,1993,162,220,01/90 → 02/93
2.0 RS Cosworth,N5B,1993,150,204,11/87 → 01/90
2.0 XR 4x4,N9C,1998,88,120,01/90 → 02/93
2.0i,"N4A, N4I, N9E",1993,85,115,01/87 → 02/93
2.0i,"NE5, NEJ, N4B",1993,74,101,01/87 → 02/93
2.0i,N9C,1998,88,120,06/89 → 02/93
2.0i,N8A,1998,80,109,06/89 → 02/93
2.0i,N9B,1998,92,125,06/89 → 02/93
2.3 D,YTR,2304,49,67,01/87 → 02/93
2.8 XR 4x4,PRG,2792,110,150,01/87 → 08/88
2.9i,B4C,2894,107,145,08/88 → 02/93
2.9i XR 4x4,B4A,2894,110,150,08/88 → 02/93
2.9i XR 4x4,B4C,2894,107,145,08/88 → 02/93
