Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 EcoBoost,,996,74,100,05/19 →
1.0 EcoBoost PHEV,M1FA,996,92,125,04/20 →
2.0 EcoBlue,,1996,100,136,01/23 →
2.0 EcoBlue,,1995,110,150,01/22 →
2.0 EcoBlue,,1995,125,170,02/16 →
2.0 EcoBlue mHEV,,1995,96,130,05/19 →
2.0 EcoBlue mHEV,,1995,110,150,01/22 →
2.0 EcoBlue mHEV,,1995,136,185,05/19 →
2.0 TDCi EcoBlue,,1995,77,105,02/16 →
2.0 TDCi EcoBlue,,1995,95,130,02/16 →
2.0 TDCi EcoBlue,,1995,136,185,05/19 →
2.2 TDCi,,2198,74,100,09/12 → 12/15
2.2 TDCi,,2198,92,125,09/12 → 12/15
2.2 TDCi,,2198,103,140,09/12 →
2.2 TDCi,,2198,114,155,09/12 → 12/15
