Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 EcoBoost PHEV,M1FA,996,92,125,04/20 →
2.0 EcoBlue,N0HA,1995,114,155,05/22 →
2.0 EcoBlue,,1995,118,160,01/21 →
2.0 EcoBlue RWD,BLHA,1995,121,165,05/22 →
2.0 EcoBlue mHEV,,1995,96,130,05/19 →
2.0 EcoBlue mHEV,,1995,110,150,01/22 →
2.0 EcoBlue mHEV,,1995,125,170,05/19 →
2.0 EcoBlue mHEV 4x4,,1995,96,130,05/19 →
2.0 EcoBlue mHEV 4x4,,1995,125,170,05/19 →
2.0 TDCi EcoBlue,,1995,77,105,03/16 →
2.0 TDCi EcoBlue,"BKFA, BKFB",1995,95,130,03/16 →
2.0 TDCi EcoBlue,,1995,110,150,10/21 →
2.0 TDCi EcoBlue,BLHA,1995,125,170,03/16 →
2.0 TDCi EcoBlue,,1995,136,185,05/19 →
2.0 TDCi EcoBlue 4x4,,1995,77,105,03/16 →
2.0 TDCi EcoBlue 4x4,,1995,125,170,03/16 →
2.0 TDCi EcoBlue 4x4,,1995,136,185,05/19 →
2.0 TDCi EcoBlue RWD,,1995,77,105,03/16 →
2.0 TDCi EcoBlue RWD,,1995,96,130,03/16 →
2.0 TDCi EcoBlue RWD,BLHA,1995,125,170,03/16 →
2.2 TDCi,,2198,74,100,08/13 → 03/16
2.2 TDCi,,2198,92,125,08/13 → 03/16
2.2 TDCi,,2198,114,155,08/13 → 03/16
2.2 TDCi 4X4,,2198,114,155,08/13 → 03/16
2.2 TDCi 4x4,,2198,92,125,08/13 → 03/16
2.2 TDCi RWD,,2198,74,100,08/13 → 03/16
2.2 TDCi RWD,,2198,92,125,08/13 → 03/16
2.2 TDCi RWD,,2198,99,135,08/13 → 03/16
2.2 TDCi RWD,,2198,114,155,08/13 → 03/16
E-Transit,,,135,184,03/22 →
E-Transit,,,198,269,03/22 →
