Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 Coupé (SN),EL,1590,59,80,11/78 → 10/82
1.8 EX (AB),ET2,1817,77,105,11/83 → 04/87
1.8 EX (AB),ET4,1817,74,101,11/85 → 04/87
2.0 (BA4),B20A4,1958,84,114,08/87 → 01/92
2.0 16V (BB9),F20A4,1997,98,133,10/96 → 10/00
2.0 EX (BA4),B20A3,1958,80,109,04/87 → 01/92
2.0i 16V (BB3),F20A4,1997,98,133,02/92 → 09/96
2.0i EX 16V (BA2),B20A1,1944,101,137,04/86 → 01/92
2.0i EX 16V (BA4),B20A5,1958,101,137,04/87 → 01/92
2.0i EX 16V (BA4),B20A9,1958,103,140,04/87 → 01/92
2.0i EX 16V,B20A7,1958,109,148,10/87 → 12/92
"2.2 16V (BB6, BB8)",H22A5,2157,136,185,10/96 → 10/00
2.2 16V,H22A5,2157,147,200,10/96 → 10/00
2.2i 16V VTEC (BB1),H22A2,2157,136,185,02/93 → 09/96
2.3i 16V (BB2),H23A2,2259,118,160,02/92 → 09/96
