Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 T-GDi Hybrid HITRAC,G4FP,1598,169,230,08/20 →
1.6 T-GDi Hybrid HITRAC,G4FP,1598,195,265,03/21 →
2.0 CRDi,,1999,110,150,03/18 →
2.0 CRDi,,1995,139,189,05/18 →
2.2 CRDi,,2199,147,200,03/18 →
2.2 CRDi,,2199,155,211,07/18 →
2.2 CRDi,D4HH,2151,148,201,11/20 →
2.2 CRDi,D4HE,2151,142,193,04/22 →
2.4 GDI,,2399,136,185,03/18 →
2.4 GDI,,2359,138,188,07/18 →
2.5 MPI,G4KM,2497,132,180,03/21 →
3.5 MPI,G6DC,3470,206,280,07/18 →
3.5 MPI,G6DC,3470,183,249,07/19 →
