Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 T-GDI,G3LC,998,88,120,11/16 →
1.0 T-GDI Hybrid 48V,G3LC,998,88,120,06/17 →
1.4 MPI,G4LC,1368,74,101,11/16 →
1.4 T-GDi,G4LD,1353,103,140,11/16 →
"1.5 (PD, PDE, PDEN)",G4LG,1498,81,110,06/20 →
"1.5 T-GDI Hybrid 48V (PD, PDE, PDEN)",G4LH,1498,117,159,03/20 →
1.6 CRDi,D4FB,1582,70,95,11/16 →
1.6 CRDi,D4FB,1582,81,110,11/16 →
1.6 CRDi,D4FB,1582,94,128,08/18 →
1.6 CRDi,D4FB,1582,100,136,11/16 →
1.6 CRDi (PDE),D4FE,1582,70,95,08/18 →
1.6 CRDi (PDE),D4FE,1598,85,116,08/18 →
1.6 CRDi (PDE),D4FE,1582,100,136,08/18 →
1.6 CRDi hybrid,D4FE,1598,100,136,03/20 →
"2.0 N (PD, PDE)",G4KH,1998,202,275,07/17 →
