Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
30-8,8140.61.200,2445,60,82,04/78 → 06/89
30-9,6132 BZ 2CO,1995,60,80,12/81 → 12/87
35- 8,8140.61.200,2445,60,82,04/78 → 06/89
35- 9,6132 BZ 2CO,1995,60,80,12/81 → 12/87
35-10 Turbo,8140.21.200,2445,76,103,02/85 → 06/89
40- 8,8140.61.200,2445,55,75,01/83 → 06/89
40-10,Lombardini 6LD,,,,01/85 → 06/89
40-10 Turbo,8140.27 S,2499,76,103,02/85 → 06/89
45-10 Turbo,8140.21.200,2445,76,103,02/85 → 06/89
49-10 Turbo,8140.21.200,2445,77,105,02/85 → 06/89
49-10 Turbo,8140.21.214,2445,77,105,07/88 → 05/89
