Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
30-8,8140.67.,2449,60,82,05/96 → 08/99
30-8 H,8140.07.2700,2499,55,75,02/91 → 04/96
35- 8,"8140.07.2700,12",2499,60,82,07/89 → 06/90
35- 8,8140.63.,2798,62,84,04/98 → 08/99
35- 8,8140.67.,2499,60,82,05/96 → 03/98
35- 8 H,8140.07.2700,2499,55,75,02/91 → 04/96
35-10 Turbo,8140.97.2781,2499,76,103,07/91 → 04/96
35-10 Turbo,8140.2700,2449,76,103,07/89 → 04/96
35-10 Turbo,8140.23.,2798,76,103,05/96 → 08/99
35-10 Turbo I.D.,8140.47.2790,2499,76,103,07/92 → 04/96
35-10 V Turbo,8140.47R,2499,80,109,05/96 → 08/99
35-12 Turbo,8140.43.,2798,90,122,05/96 → 08/99
35-12 Turbo,8140.47.2700,2499,90,122,10/90 → 04/96
40- 8,8140.07.2700,2499,55,75,07/89 → 04/96
40-10 Turbo,8140.27.2720,2798,76,103,07/89 → 04/96
40-10 Turbo,8140.23.,2798,76,103,05/96 → 08/99
40-12 Turbo,8140.47.2700,2499,90,122,10/90 → 04/96
40-12 Turbo,8140.43.,2798,90,122,05/96 → 08/99
45-10 Turbo,8140.27.2720,2499,76,103,07/89 → 04/96
45-10 Turbo,8140.23.,2798,76,103,05/96 → 08/99
45-12 Turbo,"8140.47.2721,11",2499,90,122,06/90 → 04/96
45-12 Turbo,8140.43.,2798,90,122,05/96 → 08/99
49-10 Turbo,8140.47.2790,2499,77,105,10/93 → 04/96
49-10 Turbo,8140.23.,2798,77,105,05/96 → 08/99
49-10 Turbo,8140.27.2700,2798,77,105,07/89 → 04/96
49-12 Turbo,8140.47,2499,90,122,06/90 → 04/96
49-12 Turbo,8140.43.,2798,90,122,05/96 → 08/99
59-12 Turbo,8140.43.,2798,90,122,05/96 → 08/99
59-12 Turbo,8140.47,2499,90,122,05/91 → 04/96
