Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
29- 9,8140.63,2798,62,85,07/99 → 12/01
29- 9 Turbo,8140.43,2798,66,90,09/01 → 12/02
29-10 Turbo HPI (2.3 HPI),F1A,2300,70,96,09/02 → 07/06
29-11 Turbo,8140.43.C,2798,77,105,07/99 → 12/02
29-12 Turbo HPI (2.3 HPI),F1A,2300,85,116,09/02 → 07/06
29-13 Turbo,8140.43.SEDC,2798,92,125,07/99 → 07/06
29-14 Turbo HPT (2.3 HPT),F1A,2287,100,136,04/05 → 07/06
35- 9,8140.63,2798,62,85,07/99 → 12/01
35- 9 Turbo,8140.43,2798,66,90,09/01 → 12/02
35-10 Turbo HPI (2.3 HPI),F1A,2300,70,96,09/02 → 07/06
35-11 CNG,8149.03 CNG,2798,78,105,07/99 → 07/06
35-11 Turbo,8140.43,2798,77,105,07/99 → 12/02
35-12 Turbo HPI (2.3 HPI),F1A,2300,85,116,09/02 → 07/06
35-13 Turbo,8140.43S,2798,92,125,07/99 → 07/06
35-14 Turbo HPI (3.0 HPI),F1C E0481B,3000,100,136,09/04 → 07/06
35-14 Turbo HPT (2.3 HPT),F1A,2287,100,136,04/05 → 07/06
35-15 Turbo,8140.43N,2800,107,146,09/01 → 07/06
35-17 Turbo HPT (3.0 HPT),F1C E0481 B,3000,122,166,09/04 → 07/06
40- 9,8140.63,2798,62,85,07/99 → 12/01
40- 9 Turbo,8140.43,2798,66,90,09/01 → 12/02
40-11 Turbo,8140.43C,2798,77,105,07/99 → 12/02
40-13 Turbo,8140.43SEDC,2798,92,125,07/99 → 07/06
40-14 Turbo HPI (3.0 HPI),F1C E0481B,2998,100,136,09/04 → 07/06
40-14 Turbo HPT (2.3 HPT),F1A,2287,100,136,04/05 → 07/06
40-15 Turbo,8140.43N,2800,107,146,09/01 → 07/06
40-17 Turbo HPT (3.0 HPT),F1C E0481B,3000,122,166,09/04 → 07/06
45-11 Turbo,8140.43C,2798,77,105,07/99 → 12/02
45-13 Turbo,8140.43 SEDC,2798,92,125,07/99 → 07/06
45-14 Turbo HPI (3.0 HPI),F1C E0481B,2998,100,136,07/99 → 04/06
49-11 Turbo,8140.43.C,2798,77,105,07/99 → 12/02
49-13 Turbo,8140.43.SEDC,2798,92,125,07/99 → 07/06
50-11 CNG,8149.03 CNG,2798,78,105,07/99 → 07/06
50-11 Turbo,8140.43.C,2798,77,105,11/99 → 12/02
50-13 Turbo,8140.43.SEDC,2798,92,125,11/99 → 07/06
50-14 Turbo HPI (3.0 HPI),F1C E0481B,3000,100,136,09/04 → 07/06
50-15 Turbo,8140.43N,2800,107,146,09/01 → 07/06
50-17 Turbo HPT (3.0 HPT),F1C E0481B,3000,122,166,09/04 → 07/06
59-13 Turbo,8140.43.SEDC,2798,92,125,07/99 → 07/06
60-15 Turbo,8140.43N,2800,107,146,09/00 → 07/06
65-11 CNG,8149.03 CNG,2798,78,105,07/99 → 07/06
65-14 Turbo HPI (3.0 HPI),F1C E0481B,3000,100,136,09/04 → 07/06
65-15 Turbo,8140.43N,2800,107,146,09/00 → 07/06
65-17 Turbo HPT (3.0 HPT),F1C E0481B,3000,122,166,09/04 → 07/06
