Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
29 L 10 (2.3 HPI),F1AE0481FA,2287,71,96,07/06 → 08/11
29 L 12 (2.3 HPI),F1AE0481GA,2287,85,116,07/06 → 08/11
29 L 14 (2.3 HPT),F1AE0481HA,2287,100,136,07/06 → 08/11
35 C 10 (2.3 HPI),F1AE0481FA,2287,71,96,07/06 → 08/11
35 C 11 (2.3 HPI),F1AE0481UA,2287,78,106,09/09 → 08/11
35 C 12 (2.3 HPI),F1AE0481GA,2287,85,116,07/06 → 08/11
35 C 13 (2.3 HPT),F1AE0481VA,2287,93,126,09/09 → 08/11
35 C 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 → 08/11
35 C 14 CNG (3.0 CNG),F1CE0481CNG,2998,103,140,07/06 → 08/09
35 C 14 CNG (3.0 CNG EEV),F1CE0441FA,2998,100,136,09/09 →
35 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,07/06 → 08/11
35 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
35 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
35 C/S 14 CNG (3.0 CNG EEV),F1CE0441FA (EEV),2998,100,136,02/07 →
35 S 10 (2.3 HPI),F1AE0481FA,2287,71,96,07/06 → 08/11
35 S 11 (2.3 HPI),F1AE0481UA,2287,78,106,09/09 →
35 S 12 (2.3 HPI),F1AE0481GA,2287,85,116,07/06 → 08/11
35 S 13 (2.3 HPT),F1AE0481VA,2287,93,126,09/09 →
35 S 14 (2.3 HPT),F1AE0481HA,2287,100,136,07/06 → 08/11
35 S 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 →
35 S 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
35 S 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
40 C 10 (2.3 HPI),F1AE0481FA,2287,71,96,07/06 → 08/11
40 C 11 (2.3 HPI),F1AE0481UA,2287,78,106,09/09 → 08/11
40 C 12 (2.3 HPI),F1AE0481GA,2287,85,116,07/06 → 08/11
40 C 13 (2.3 HPT),F1AE0481VA,2287,93,126,09/09 → 08/11
40 C 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 → 08/11
40 C 14 CNG (3.0 CNG EEV),F1CE0441FA,2998,100,136,09/09 → 08/11
40 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,07/06 → 08/11
40 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
40 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
45 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,07/06 → 08/11
45 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
45 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
50 C 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 → 08/11
50 C 14 CNG (3.0 CNG),F1CE0441 FA,2998,103,140,07/06 → 01/07
50 C 14 CNG (3.0 CNG EEV),F1CE0441FA (EEV),2998,100,136,02/07 → 08/11
50 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,07/06 → 08/11
50 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
50 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
55 S 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
55 S 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
60 C 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 → 08/11
60 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,07/06 → 08/11
60 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
60 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
65 C 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 → 08/11
65 C 14 CNG (3.0 CNG),F1CE0441FA (EEV),2998,100,136,02/07 → 08/11
65 C 14 CNG (3.0 CNG),F1CE0441FA,2998,103,140,07/06 → 01/07
65 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,07/06 → 08/11
65 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
65 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,07/06 → 08/11
70 C 14 (3.0 HPI EEV),F1CE3481LC,2998,103,140,09/09 → 08/11
70 C 14 CNG (3.0 CNG EEV),F1CE0441FA,2998,100,136,09/09 →
70 C 15 (3.0 HPI),F1CE0481FA,2998,107,146,10/09 → 08/11
70 C 17 (3.0 HPT EEV),F1CE3481CC,2998,125,170,09/09 → 08/11
70 C 18 (3.0 HPT),F1CE0481HA,2998,130,176,10/09 →
