Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
29 L 11 (2.3 Multijet II),F1AE3481AA,2287,78,106,10/11 → 02/14
29 L 13 (2.3 Multijet II),F1AE3481B,2287,93,126,09/11 → 02/14
29 L 15 (2.3 Multijet II),F1AE3481C,2287,107,146,10/11 → 02/14
"35 C 11, 35 S 11 (2.3 Multijet II)","F1AE3481AA,",2287,78,106,10/11 → 02/14
"35 C 13, 35 S 13 (2.3 Multijet II)",F1AE3481B,2287,93,126,09/11 → 02/14
"35 C 14, 35 S 14 (3.0 CNG Natural Power EEV, E6)",,2998,100,136,09/11 → 02/14
"35 C 15, 35 S 15 (2.3 Multijet II)",F1AE3481C,2287,107,146,10/11 → 02/14
"35 C 15, 35 S 15 (3.0 HPI E5, E6)","F1CE3481J,F1CE3481B, F1CE3481L",2998,107,146,09/11 → 02/14
"35 C 17, 35 S 17 (3.0 HPI E5, E6)",F1CE3481C/K,2998,125,170,09/11 → 02/14
"35 C 21, 35 S 21 (3.0 HPT E5, E6)",F1CE3481D,2998,150,205,09/11 → 02/14
"35 S 14, 3.0 CS (3.0 HPI E5, E6)",F1CE3481L,2998,110,150,04/12 → 02/14
"35S, 35C Electric",,,60,82,09/11 → 02/14
40 C 11 (2.3 Multijet II),F1AE3481AA,2287,78,106,09/11 → 02/14
"40 C 13, 40 S 13 (2.3 Multijet II)",F1AE3481B,2287,93,126,09/11 → 02/14
"40 C 14 (3.0 CNG Natural Power EEV, E6)",,2998,100,136,09/11 → 02/14
40 C 15 (2.3 Multijet II),F1AE3481C,2287,107,146,09/11 → 02/14
"40 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CE3481B/L",2998,107,146,10/11 → 02/14
"40 C 17 (3.0 HPI E5, E6)",F1CE3481C,2998,125,170,10/11 → 02/14
"40 C 21 (3.0 HPT E5, E6)",F1CE3481D,2998,150,205,09/11 → 02/14
"45 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CE3481B/L",2998,107,146,10/11 → 02/14
"45 C 17 (3.0 HPI E5, E6)",F1CE3481C/K,2998,125,170,09/11 → 02/14
"45 C 21 (3.0 HPT E5, E6)",F1CE3481D,2998,150,205,09/11 → 02/14
"50 C 14 (3.0 CNG Natural Power EEV, E6)",,2998,100,136,09/11 → 02/14
50 C 15 (2.3 Multijet II),F1AE3481C,2287,107,146,09/11 → 02/14
"50 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CE3481B/L",2998,107,146,09/11 → 02/14
"50 C 17 (3.0 HPI E5, E6)",F1CE3481C,2998,125,170,10/11 → 02/14
"50 C 21 (3.0 HPT E5, E6)",F1CE3481D,2998,150,205,09/11 → 02/14
50 C Electric,,,80,109,09/11 → 02/14
"55 C 17 (3.0 HPI E5, E6)",F1CE3481C,2998,125,170,09/11 → 02/14
"60 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CE3481B/L",2998,107,146,09/11 → 02/14
"60 C 17 (3.0 HPI E5, E6)",F1CE3481C/K,2998,125,170,09/11 → 02/14
"60 C 21 (3.0 HPT E5, E6)",F1CE3481D,2998,150,205,09/11 → 02/14
"65 C 14 (3.0 CNG Natural Power EEV, E6)",,2998,100,136,09/11 → 02/14
"65 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CE3481B/L",2998,107,146,09/11 → 02/14
"70 C 14 (3.0 CNG Natural Power EEV, E6)",,2998,100,136,09/11 → 02/14
"70 C 17 (3.0 HPI E5, E6)",F1CE3481C/K,2998,125,170,09/11 → 02/14
"70 C 21 (3.0 HPT E5, E6)",F1CE3481D,2998,150,205,09/11 → 02/14
