Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
33 S 11 (2.3 Multijet II),F1AFL411A,2287,78,106,03/14 → 04/16
33 S 12 (2.3 E6),F1AGL411H*C (E6),2287,85,116,04/16 →
33 S 12 (2.3 120),F1A,2300,85,116,04/19 →
33 S 13 (2.3 Multijet II),F1AFL411B,2287,93,126,03/14 → 04/16
33 S 14 (2.3 E6),F1AGL411J*C (E6),2287,100,136,04/16 →
33 S 15 (2.3 Multijet II),"F1AE3481C, F1AFL411C",2287,107,146,03/14 → 04/16
33 S 16 (2.3 E6),F1AGL411G*C (E6),2287,115,156,04/16 →
33 S 16 (2.3 160),F1A,2300,115,156,04/19 →
"35 C 11, 35 S 11 (2.3 Multijet II)","F1AE3481A, D1AFL411A",2287,78,106,03/14 → 04/16
"35 C 12, 35 S 12 (2.3 E6)",F1AGL411H*C (E6),2287,85,116,04/16 →
"35 C 12, 35 S 12 (2.3 120)",F1A,2300,85,116,04/19 →
"35 C 13, 35 S 13 (2.3 Multijet II)","F1AE3481B, F1AFL411B",2287,93,126,03/14 → 04/16
"35 C 14, 35 S 14 (2.3 E6)",F1AGL411J*C (E6),2287,100,136,04/16 →
"35 C 14, 35 S 14 (2.3 140)",F1A,2300,100,136,04/19 →
"35 C 14, 35 S 14 G (3.0 CNG Natural Power EEV, E6)","F1CFA401A, F1CFA401B",2998,100,136,03/14 →
"35 C 15, 35 S 15 (2.3 Multijet II)","F1AE3481C, F1AFL411C",2287,107,146,03/14 → 04/16
"35 C 15, 35 S 15 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
"35 C 15, 35 S 15 (3.0 E6)",F1CGL411A*E (E6),2998,110,150,04/16 →
"35 C 16, 35 S 16 (2.3 E6)",F1AGL411G*C (E6),2287,115,156,04/16 →
"35 C 16, 35 S 16 (2.3 160)",F1A,2300,115,156,04/19 →
"35 C 16, 35 S 16 (3.0 160)",F1C,3000,118,160,01/22 →
"35 C 17, 35 S 17 (3.0 HPI E5, E6)","F1CE3481K, F1CFL411F/H",2998,125,170,03/14 → 04/16
"35 C 18, 35 S 18 (3.0 E6)",F1CGL411B*E (E6),2998,132,180,04/16 →
"35 C 18, 35 S 18 (3.0 180)",F1C,3000,129,176,04/19 →
"35 C 21, 35 S 21 (3.0 HPT E5, E6)","F1CE3481D, F1CFL411G",2998,150,205,03/14 →
"35 C 21, 35 S 21 (3.0 210)",F1C,3000,152,207,04/19 →
"35 S 10 E, 42 S 10 E (eDaily)",550002E,,100,136,12/22 →
"35 S 14 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
"35 S 14 E, 42 S 14 E, 50 C 14 E, 72 C 1 E (eDaily)",550002E,,140,190,12/22 →
"35 S/E, 35 C/E",,,60,82,09/16 →
"40 C 14 G (3.0 CNG Natural Power EEV, E6)","F1CFA401A, F1CFA401B",2998,100,136,03/14 →
"40 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
40 C 15 (3.0 E6),F1CGL411A*E (E6),2998,110,150,04/16 →
40 C 16 (2.3 160),F1A,2300,115,156,04/19 →
40 C 16 (3.0 160),F1C,3000,118,160,04/19 →
"40 C 17 (3.0 HPI E5, E6)",F1CFL411F/H,2998,125,170,03/14 → 04/16
40 C 18 (3.0 E6),F1CGL411B*E (E6),2998,132,180,04/16 →
40 C 18 (3.0 180),F1C,3000,129,176,04/19 →
"40 C 21 (3.0 HPT E5, E6)","F1CE3481D, F1CFL411G",2998,150,205,03/14 →
40 C 21 (3.0 210),F1C,3000,152,207,04/19 →
"40 S 14 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
45 C 15 (3.0 E6),F1CGL411A*E (E6),2998,110,150,04/16 →
"45 C 17 (3.0 HPI E5, E6)","F1CE3481K, F1CFL411F/H",2998,125,170,03/14 → 04/16
45 C 18 (3.0 E6),F1CGL411B*E (E6),2998,132,180,04/16 →
"45 C/E, 50 C/E",,,80,109,09/16 →
"50 C 14 G (3.0 CNG Natural Power EEV, E6)","F1CFA401A, F1CFA401B",2998,100,136,03/14 →
"50 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
50 C 15 (3.0 E6),F1CGL411A*E (E6),2998,110,150,04/16 →
50 C 16 (2.3 160),F1A,2300,115,156,04/19 →
50 C 16 (3.0 160),F1C,3000,118,160,04/19 →
"50 C 17 (3.0 HPI E5, E6)",F1CFL411F/H,2998,125,170,03/14 → 04/16
50 C 18 (3.0 E6),F1CGL411B*E (E6),2998,132,180,04/16 →
50 C 18 (3.0 180),F1C,3000,129,176,04/19 →
"50 C 21 (3.0 HPT E5, E6)","F1CE3481D, F1CFL411G",2998,150,205,03/14 →
50 C 21 (3.0 210),F1C,3000,152,207,04/19 →
50 C/E,,,80,109,10/15 →
"55 C 17 (3.0 HPI E5, E6)",F1CFL411F/H,2998,125,170,03/14 → 04/16
"55 C 18, 55 S 18 (3.0 180)",F1C,3000,129,176,06/22 →
"60 C 14 G (3.0 CNG Natural Power EEV, E6)",F1C,2998,100,136,04/19 →
60 C 15 (3.0 E6),F1CGL411A*E (E6),2998,110,150,04/16 →
60 C 18 (3.0 180),F1C,3000,129,176,04/19 →
60 C 21 (3.0 210),F1C,3000,152,207,04/19 →
"65 C 14 G (3.0 CNG Natural Power EEV, E6)","F1CFA401A, F1CFA401B",2998,100,136,03/14 →
"65 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
65 C 15 (3.0 E6),F1CGL411A*E (E6),2998,110,150,04/16 →
65 C 16 (3.0 160),F1C,3000,118,160,04/19 →
"65 C 17 (3.0 HPI E5, E6)",F1CFL411F/H,2998,125,170,03/14 → 04/16
65 C 18 (3.0 E6),F1CGL411B*E (E6),2998,132,180,04/16 →
65 C 18 (3.0 180),F1C,3000,129,176,04/19 →
"65 C 21 (3.0 HPT E5, E6)","F1CE3481D, F1CFL411G",2998,150,205,03/14 →
65 C 21 (3.0 210),F1C,3000,152,207,04/19 →
"70 C 14 G (3.0 CNG Natural Power EEV, E6)","F1CFA401A, F1CFA401B",2998,100,136,03/14 →
70 C 15 (3.0 E6),F1CGL411A*E (E6),2998,110,150,04/16 →
"70 C 15 (3.0 HPI E5, E6)","F1CE3481J, F1CFL411E/J",2998,107,146,03/14 → 04/16
70 C 16 (3.0 160),F1C,3000,118,160,04/19 →
"70 C 17 (3.0 HPI E5, E6)","F1CE3481K, F1CFL411F/H",2998,125,170,03/14 → 04/16
70 C 18 (3.0 E6),F1CGL411B*E (E6),2998,132,180,04/16 →
"70 C 18, 70 S 18 (3.0 180)",F1C,3000,129,176,04/19 →
"70 C 21 (3.0 HPT E5, E6)","F1CE3481D, F1CFL411G",2998,150,205,03/14 →
70 C 21 (3.0 210),F1C,3000,152,207,04/19 →
72 C 18 (3.0 E6),F1CGL411B*E (E6),2998,132,180,04/16 →
72 C 21 (3.0 E6),F1CFL411G (E6),2998,150,205,04/16 →
