Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 P160 MHEV,AJ20P3,1497,118,160,11/20 →
1.5 P300e Plug-in Hybrid,AJ20P3,1497,227,309,11/20 →
2.0 (X540),PT204,1997,147,200,06/18 →
2.0 (X540),PT204,1997,183,249,09/17 →
2.0 (X540),PT204,1997,221,300,09/17 →
2.0 D165,AJ20D4,1997,120,163,11/20 →
2.0 D165 MHEV,AJ20D4,1997,120,163,11/20 →
2.0 D200 MHEV,AJ20D4,1997,150,204,11/20 →
2.0 Diesel (X540),204DTD,1999,110,150,09/17 →
2.0 Diesel (X540),204DTD,1999,132,179,09/17 →
2.0 Diesel (X540),204DTA,1999,183,249,09/17 →
2.0 Diesel (X540),204DTA,1999,177,241,09/17 →
2.0 Flexfuel,PT204(AJ20P4),1997,147,200,04/23 →
2.0 P200 MHEV,PT204(AJ20P4),1997,147,200,11/20 →
2.0 P250 MHEV,AJ20P4,1997,184,250,11/20 →
2.0 P300 MHEV,AJ20P4,1997,221,300,11/20 →
