Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 (X761),204PT,1997,177,241,05/16 →
2.0 (X761),204PT,1997,184,250,02/17 →
2.0 (X761),,1997,221,300,06/17 →
2.0 D (X761),204DTD,1999,132,179,09/15 →
2.0 D (X761),204DTD,1999,120,163,02/17 →
2.0 D (X761),204DTA,1999,177,241,02/17 →
2.0 D165 MHEV (X761),AJ20D4,1999,120,163,10/20 →
2.0 D200 MHEV,AJ21D4,1997,150,204,10/20 →
2.0 P400e (X761),AJ20P4 (PT204),1997,297,404,10/20 →
3.0 (X761),AJ126,2995,280,381,09/15 →
3.0 (X761),AJ126,2995,250,340,09/15 →
3.0 D (X761),306DT,2993,221,300,09/15 →
3.0 D300 MHEV,AJ20D6,2997,221,300,10/20 →
3.0 P400,AJ20P6,2996,294,400,10/20 →
3.0 P400 MHEV,AJ20P6,2996,294,400,10/20 →
5.0 SVR (X761),,5000,405,551,08/18 →
5.0 SVR P550 MHEV (X761),,5000,405,551,10/20 →
