Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 (X250),,1999,177,241,06/12 → 04/15
2.2 D (X250),,2179,120,163,05/11 → 04/15
2.2 D (X250),,2179,147,200,03/12 → 04/15
2.2 D (X250),,2179,140,190,05/11 → 04/15
2.7 Diesel V6 (X250),AJD-V6,2720,152,207,03/08 → 04/15
3.0 Diesel V6 (X250),,2993,155,211,02/10 → 04/15
3.0 Diesel V6 (X250),,2993,177,240,05/09 → 04/15
3.0 S Diesel V6 (X250),,2993,202,275,05/09 → 04/15
3.0 V6 (X250),AJ-V6,2967,175,238,03/08 → 04/15
3.0 V6 Kompressor (X250),,2995,250,340,03/12 → 04/15
4.2 V8 (X250),AJ34,4196,219,298,03/08 → 04/15
4.2 V8 Kompressor (X250),AJ34,4196,306,416,03/08 → 04/15
5.0 V8 (X250),,4998,283,385,06/09 → 04/15
5.0 V8 Kompressor (X250),,5000,346,470,01/09 → 04/15
5.0 V8 Kompressor (X250),,4998,375,510,06/09 → 04/15
5.0 XFR-S (X250),,5000,405,551,10/12 → 04/15
