Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
XJ12 5.3,,5343,187,254,08/86 → 09/89
XJ12 5.3,,5343,198,269,06/72 → 09/73
XJ12 5.3,,5343,186,253,09/73 → 12/76
XJ12 5.3,V 12,5343,211,287,05/75 → 12/82
XJ12 H.E.,V 12,5343,217,295,09/81 → 12/92
XJ12 Sovereign V12,V 12,5343,197,268,07/85 → 12/92
XJ12 Sovereign V12,7P,5344,194,264,10/86 → 12/92
XJ6 2.8,,2791,110,149,09/68 → 09/73
XJ6 3.4,XK 3.4,3442,119,162,05/75 → 10/86
XJ6 4.2,XK 4.2,4235,124,169,01/75 → 09/79
XJ6 4.2,XK 4.2,4235,127,173,01/75 → 12/79
XJ6 4.2,XK 4.2,4235,130,177,09/85 → 12/86
XJ6 4.2,XK 4.2,4235,133,181,09/85 → 12/86
XJ6 4.2,XK 4.2,4235,137,186,10/69 → 05/75
XJ6 4.2,XK 4.2,4235,151,205,09/79 → 12/87
