Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0,EHD,2985,172,234,09/14 →
3.0 CRD,,2987,177,241,05/11 →
3.0 CRD,,2987,140,190,05/11 →
3.0 CRD V6,"EXF, EXN",2987,160,218,01/11 →
3.0 V6 CRD,,2987,184,250,08/13 →
3.6 Laredo (V6),,,,,01/11 → 12/13
3.6 Limited (V6),,,,,01/11 → 12/14
3.6 V6,ERB,3604,210,286,12/10 →
3.6 VVT,ERB,3604,213,290,04/16 →
5.7,EZH,5654,268,364,01/11 →
5.7 Summit (V8),,,,,01/14 → 12/14
5.7 V8 HEMI,,5654,259,352,12/10 →
6.4 SRT8 (V8),,,,,01/12 → 12/14
6.4 V8 SR-T,,6417,344,468,03/12 →
