Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 T-GDi,,999,88,120,08/18 →
1.3 PHEV,,1332,140,190,08/20 →
1.3 PHEV,,1332,177,240,08/19 →
1.3 T-GDi,,1332,110,150,08/18 →
1.3 T-GDi,,1332,132,180,08/18 →
1.4 LPG (BU),552 77 701,1368,88,120,01/16 →
1.4 MultiAir (BU),,1368,103,140,07/14 →
1.4 MultiAir (BU),,1368,125,170,07/14 →
1.6 CRD (BU),EJJ,1598,70,95,11/16 →
1.6 E-torQ (BU),,1598,81,110,07/14 →
1.6 MultiJet (BU),,1598,96,130,02/20 →
1.6 MultiJet (BU),,1598,84,114,08/22 →
1.6 MultiJet CRD (BU),,1598,88,120,07/14 →
2.0 MultiJet CRD (BU),,1956,103,140,07/14 →
2.0 MultiJet CRD (BU),,1956,125,170,07/14 →
2.0 MultiJet CRD (BU),,1956,88,120,07/14 →
