Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 T-GDI,G3LC,998,88,120,05/15 →
1.0 T-GDI,G3LC,998,74,101,05/15 →
1.4 CRDI,D4FC,1396,66,90,05/12 →
1.4 CVVT,G4FA,1396,73,99,06/12 →
1.4 LPG,G4FA,1396,72,98,05/12 →
1.4 MPI,G4LC,1368,74,101,05/15 →
1.4 T-GDI,G4LD,1396,103,140,03/18 →
1.6 CRDI,,1582,81,110,05/12 →
1.6 CRDI,D4FE,1598,85,116,05/18 →
1.6 CRDI,D4FB,1582,94,128,05/12 →
1.6 CRDI,D4FB,1582,100,136,05/15 →
1.6 GDI,G4FD,1591,99,135,05/12 →
1.6 GT,,1591,150,204,06/13 →
1.6 Gamma MPi,G4FC,1591,96,130,05/12 →
