Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4,,1396,77,105,01/07 → 12/12
1.4 16V,G4FA,1396,80,109,01/07 → 12/12
1.4 CVVT,,1396,66,90,10/10 → 12/12
1.4 LPG,G4FA,1396,80,109,01/09 → 12/10
1.4 LPG,G4FA,1396,64,87,06/11 → 04/12
1.6 16V,G4FC,1591,90,122,01/07 → 12/12
1.6 16V,,1591,92,125,09/07 → 12/12
1.6 CRDi,D4FB-L,1582,66,90,01/07 → 12/12
1.6 CRDi,D4FB,1582,85,115,01/07 → 12/12
1.6 CRDi,,1582,94,128,10/10 → 12/12
1.6 CVVT,DOHC-MPI,1591,85,116,09/07 → 12/12
1.6 LPG,G4FC,1591,91,124,06/07 → 12/11
1.6 LPG,G4FC,1591,87,118,06/11 → 12/11
2.0 16V,G4GC,1975,105,143,01/07 → 12/09
2.0 CRDi,D4EA,1991,103,140,05/07 → 12/12
