Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5,21083,1499,53,72,08/03 → 12/13
1100,BA3 21081,1100,39,53,02/88 → 12/94
1100,BA3 21081 (KAT),1099,43,58,02/96 → 08/99
1300,BA3 2108,1288,48,65,01/86 → 12/94
1300,,1288,46,63,01/88 → 12/96
1300,BA3 2108 (KAT),1288,45,61,09/91 → 08/99
1300,,1288,50,68,02/96 → 12/99
1500,BA3 21083,1499,53,72,01/88 → 12/96
1500,BA3 21083 (KAT),1500,50,68,09/91 → 12/96
1500,,1499,52,71,02/95 → 12/06
1500 1.5,VAZ-21111,1499,56,76,04/96 → 12/13
1600,VAZ-11183,1597,60,82,02/09 → 12/13
