Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 (836),160 A1.046,1372,51,69,10/94 → 08/99
1.6 LE (836),,1581,76,103,01/96 → 08/99
1.6 LE (836),,1581,66,90,03/96 → 08/99
1.8 GT (836),,1747,96,131,03/96 → 08/99
1.8 LE (836),836 C5.000,1756,66,90,07/94 → 08/99
1.8 LE (836),,1747,83,113,03/96 → 08/99
1.8 i.e. (836),835 C2.000,1756,76,103,06/93 → 08/99
1.9 Turbo DS (836),,1929,66,90,09/94 → 08/99
2.0 16V (836),836 A3.000,1995,102,139,06/93 → 08/99
2.0 16V Turbo (836),836 A2.000,1995,137,186,06/93 → 08/99
2.0 HF Integrale 16V (836),831 E5.000,1995,155,211,06/93 → 01/94
2.0 HPE (836),175 A4.000,1995,142,193,07/96 → 08/99
