Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,,1301,58,79,01/83 → 02/92
1.5,831 A1.000,1465,63,86,12/82 → 04/86
1.5,831 B1.048,1498,55,75,09/85 → 02/92
1.5,831 B.048,1498,59,80,08/86 → 02/92
1.6,831 B6.000,1585,73,99,08/86 → 02/92
1.6 LX,831 A4.000,1574,77,105,12/82 → 04/86
1.6 i.e.,831 B7.000,1574,80,108,05/86 → 12/89
1.6 i.e. Super,149 C2.000,1574,66,90,05/87 → 12/89
1.9 D,831 D.000,1911,48,65,12/82 → 02/92
1.9 TD DS,831 D1.000,1911,59,80,05/85 → 12/89
2.0 4WD,831 B4.000,1987,85,115,04/86 → 12/89
