Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2000 16V,834 F1.000,1995,112,152,08/92 → 12/93
2000 16V ST. W.,834 F1.000,1995,112,152,05/92 → 07/94
2000 16V Turbo,834 C.1000,1995,133,181,12/88 → 06/92
2000 16V Turbo,834 F2.000,1995,148,201,10/92 → 07/94
2000 Turbo 16V St. W.,834 C.146,1995,110,150,06/89 → 07/94
2000 Turbo St. W.,834 C1.246,1995,130,177,04/89 → 03/93
2000 i.e.,834 B.146,1995,85,115,03/86 → 11/94
2000 i.e.,834 B.000,1995,88,120,11/84 → 09/88
2000 i.e.,834 B.048,1995,83,113,03/86 → 09/88
2000 i.e. Turbo,834 C.146,1995,110,150,07/86 → 05/90
2000 i.e. Turbo,834 C.000,1995,122,166,11/84 → 12/87
2000 i.e. Turbo 16V,834 C1.246,1995,130,177,04/89 → 05/92
2000 i.e.16V,834 B2.246,1995,104,141,02/89 → 05/92
2500 TD,8144.91,2428,74,101,11/84 → 09/88
2500 TD St. W.,8144.91,2428,74,101,03/87 → 09/90
2500 Turbo DS,8144. 97.2500,2500,77,105,05/92 → 07/94
2500 Turbo DS,8144.97.2200,2482,85,115,06/88 → 05/92
2500 Turbo DS,8144.97 Y,2500,85,116,09/93 → 04/97
2850 V6 i.e.,834 E.000,2829,110,150,11/84 → 09/88
2850 V6 i.e.,834 E.146,2829,108,147,06/88 → 05/92
3.0 V6,834 F.000,2959,126,171,09/92 → 07/94
8.32,F 105 L,2927,158,215,09/87 → 05/89
8.32,F 105 L.046,2927,151,205,10/87 → 05/92
