Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 D200 SD4 (L663),204DT,1999,147,200,09/19 →
2.0 D240 SD4 (L663),204DT,1999,177,241,09/19 →
2.0 P300 Si4 (L663),PT204,1997,221,300,09/19 →
2.0 P400e Hybrid (L663),PT204,1997,297,404,09/20 →
3.0 D200 MHEV (L663),AJ20D6,1997,147,200,09/20 →
3.0 D250 MHEV (L663),AJ20D6,1997,183,249,09/20 →
3.0 D300 MHEV (L663),AJ20D6,1997,221,300,09/20 →
3.0 P300 MHEV (L663),AJ20P6,2996,221,300,05/22 →
3.0 P400 I6 MHEV (L663),PT304,2996,294,400,09/19 →
5.0 P500 (L663),AJ133,5000,368,500,04/23 →
5.0 P525 (L663),AJ133,5000,386,525,05/21 →
