Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"2.2 TD4 (90, 110, 130)",ZSD-422,2198,90,122,08/11 → 02/16
2.2 Td4,,2198,110,150,02/15 → 02/16
"2.4 TD4 (90, 110, 130)",244DT,2402,90,122,05/07 → 02/16
"2.4 TD4 (90, 110, 130)",DT244,2402,103,140,10/09 → 05/16
"2.5 (90, 110)",17H,2494,62,84,09/90 → 09/95
"2.5 D (90, 110)",12J,2494,51,69,09/90 → 09/95
"2.5 TD5 (90, 110, 130)",TD5,2495,90,122,06/98 → 02/16
"2.5 TDi (90, 110, 130)",11L (200 Tdi),2494,80,109,09/90 → 09/95
"2.5 TDi (90, 110, 130)",16/23L (300 Tdi),2495,83,113,12/94 → 12/98
"3.5 V8 (90, 110)",21G,3528,86,117,09/90 → 08/93
"3.5 V8 (90, 110)",22D,3532,100,136,09/90 → 12/98
"3.9 V8 (90, 110, 130)",37L,3947,136,185,11/98 → 09/00
