Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.7 TDV6 (L320),,2720,140,190,06/05 → 03/13
3.0 SDV6 (L320),,2993,188,256,11/09 → 03/13
3.0 TD (L320),,2993,183,249,08/12 → 03/13
3.0 TDV6 (L320),,2993,155,211,05/10 → 03/13
3.0 TDV6 (L320),306DT,2993,180,245,09/09 →
3.6 TDV8 (L320),,3630,200,272,10/06 → 03/13
4.2 V8 Supercharged (L320),AJ34,4197,286,389,05/05 → 03/13
4.4 V8 (L320),AJ34,4394,220,299,05/05 → 03/13
5.0 V8 Supercharged (L320),,4999,276,375,07/09 → 03/13
5.0 V8 Supercharged (L320),,4998,375,510,09/09 → 03/13
