Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
400 (UCF10),1UZ-FE,3969,180,245,12/89 → 11/94
400 (UCF20),1UZ-FE,3969,194,264,12/94 → 08/97
400 (UCF20),1UZ-FE,3969,209,284,09/97 → 07/00
400 (UCF20),1UZ-FE,3969,203,276,09/98 → 10/00
430 V8 (UCF30),3UZ-FE,4293,207,281,12/00 → 08/06
460 (USF40),1UR-FSE,4609,280,381,04/06 →
460 (USF40),1UR-FE,4608,255,347,05/08 →
460 (USF40),1UR-FSE,4608,270,367,12/08 →
460 (USF40),1UR-FSE,4609,285,387,09/12 →
500 (VXFA50),V35A-FTS,3445,310,421,10/17 →
500 (GVF55),8GR-FKS,3444,307,417,10/17 →
500h (GVF50),8GR-FXS,3456,220,299,10/17 →
600h (USF40),2UR-FSE,4969,327,445,06/07 →
