Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 24V Biturbo (AM336),,1996,224,305,05/92 → 09/97
2.8 24V Biturbo (AM336),,2790,209,284,06/92 → 09/97
3.0 Diesel (M157),VM,2987,184,250,08/13 →
3.0 Diesel (M157),VM,2987,202,275,08/13 →
3.0 S Q4 (M157),M 156 B,2979,316,430,07/17 →
3.0 S V6 Turbo (M157),,2979,301,409,08/13 →
3.0 V6 Turbo (M157),,2979,243,330,08/13 →
3.0 V6 Turbo (M157),,2979,257,349,08/13 →
4.7 (AM115),,4719,228,310,01/67 → 12/73
4.7 Spider (AM115),,4719,228,310,06/68 → 12/73
4.9 (AM115),,4930,247,335,01/70 → 12/73
4.9 Spider (AM115),,4930,247,335,06/68 → 12/73
