Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 Biturbo,24V DOHC,1996,211,287,03/94 → 05/04
2.8 Biturbo,24V DOHC,2790,209,284,03/94 → 05/04
3.0 (M156),M156,2979,243,330,03/13 →
3.0 Diesel (M156),M157D (VM),2987,202,275,09/13 →
3.0 Diesel (M156),M157D (VM),2987,184,250,09/13 →
3.0 S (M156),M156B,2979,302,411,05/13 →
3.2 V8 32V,AM578,3217,247,336,12/95 → 05/04
3.8 GTS V8 (M156),M156A,3799,390,530,01/13 →
4.2 V8 32V (M139),,4244,298,405,03/04 → 11/12
4.7GT S,M 139 R,4691,323,439,06/08 →
4.7GT S,M 145 T,4691,331,450,11/11 →
4.7L S,M 139 R,4691,317,431,06/08 →
