Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0,M,1970,66,90,05/79 → 05/81
2.0,M,1970,66,90,04/82 → 07/86
2.0,"MA, HEE",1970,66,90,05/82 → 03/84
2.0,FE,1998,74,101,03/84 → 07/87
2.0,FE,1984,85,115,06/87 → 06/91
2.0 St. W.,MA,1970,66,90,01/83 → 12/87
2.0i GLX,FE,1998,88,120,10/84 → 07/87
2.2,F2E,2184,85,115,01/88 → 04/89
2.2 12V,F2E,2184,94,128,04/89 → 06/91
2.2i,F2E,2184,100,136,05/87 → 12/88
3.0,JE,2918,140,190,06/87 → 06/91
3.0,JE3,2954,125,170,01/88 → 12/89
3.0,JE3,2954,123,167,01/90 → 09/92
