Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 (PE2N),NA,,,,03/71 → 10/82
1.8 (PE2V),VC,,,,08/77 → 01/82
1.8 (PE/UD),VC,1769,62,84,10/81 → 08/85
2.0 (UF),FE,,,,01/85 → 03/96
2.2 (UF),F2,2184,68,92,08/91 → 03/96
2.2 (UN),R5A2,2184,60,82,02/99 → 11/06
2.2 4WD (UN),JL22,2148,68,92,06/99 → 11/06
2.2 D (PE),S2/B2,,47,64,01/78 → 12/84
2.2 D (UF),R2,,47,64,01/85 → 03/96
2.5 D 4WD (UF8),WL,2499,63,86,02/96 → 07/99
2.5 D 4WD (UF),,2499,57,78,09/98 → 06/99
"2.5 D, 2.5 D 4WD (UN)",MD25NA,2499,57,78,06/99 → 11/06
2.5 TD 4WD (UN),MD25TI,2499,80,109,06/99 → 07/06
2.5D 4WD (UN),WLE7,2500,62,84,12/02 → 11/06
2.6 12V 4WD (UF),G6MPV Kat.,2606,90,122,01/90 → 07/99
2.6 4WD (UF),4G54,2555,73,99,09/87 → 05/99
2.6 4WD (UN),JK26,2606,90,122,06/99 → 11/06
