Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0,PEXB,1998,110,150,03/18 →
2.0,"PEXB, PEXP",1998,110,150,03/18 →
2.0,PE-VPS,1998,114,155,11/16 →
2.0 Skyactiv-G (KF),,1998,121,165,05/17 →
2.0 Skyactiv-G (KF),,1998,118,160,05/17 →
2.0 e-Skyactiv-G 165 (KF),PEYK,1998,121,165,02/23 →
2.2 Skyactiv-D (KF),SHY8,2191,135,184,07/18 →
2.2 Skyactiv-D (KF),,2191,129,175,05/17 →
2.2 Skyactiv-D (KF),,2191,110,150,05/17 →
2.5 Skyactiv-G (KF),PY-VPS,2488,143,194,05/17 →
2.5 e-Skyactiv-G (KF),PYZX,2488,143,194,02/23 →
