Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 (ND6E),P5X1,1496,97,132,05/18 →
1.5 Skyactiv-G 131 (ND),P5-VPR,1496,96,131,05/15 →
1.6 (NA),B64F,1598,85,115,05/90 → 01/94
1.6 (NA),B6,1598,66,90,01/95 → 05/98
1.6 16V (NB),B6,1598,81,110,05/98 → 11/05
1.8 (NA),BPF1,1840,96,130,08/93 → 12/97
1.8 (NC),,,93,126,01/06 → 04/15
1.8 16V (NB),BP-ZE,1840,103,140,05/98 → 12/00
1.8 16V (NB),BP,1840,102,139,11/00 → 11/05
1.8 16V (NB),BP,1840,107,146,11/00 → 11/05
2.0 (NC),"LFG7, LFG8, LFY7, LFYK, LFZ8",1999,118,160,11/05 → 04/15
2.0 (ND6E),PEXF,1998,135,184,05/18 →
2.0 Skyactiv-G 160 (ND),,1998,118,160,05/15 →
