Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
A 160 (W176),M 270.910,1595,75,102,07/15 → 05/18
A 160 CDI BlueEFFICIENCY (W176),OM 607.951,1461,66,90,08/13 → 05/18
A 180 BlueEFFICIENCY (W176),M 270.910,1595,90,122,09/12 → 05/18
A 180 CDI BlueEFFICIENCY 1.5 (W176),OM 607.951,1461,80,109,09/12 → 05/18
A 180 CDI BlueEFFICIENCY 1.8 (W176),OM 651.901,1796,80,109,09/12 → 03/14
A 200 BlueEFFICIENCY (W176),M 270.910,1595,115,156,09/12 → 05/18
A 200 CDI 1.8 BlueEFFICIENCY (W176),OM 651.901,1796,100,136,09/12 → 10/14
A 200 CDI 2.2 BlueEFFICIENCY (W176),OM 651.930,2148,100,136,03/14 → 05/18
A 220 (W176),M 270.920,1991,135,184,05/14 → 05/18
A 220 CDI BlueEFFICIENCY (W176),OM 651.930,2148,125,170,09/12 → 05/18
A 220 CDI BlueEFFICIENCY (W176),OM 651.930,2148,120,163,09/12 → 05/18
A 220 d (W176),OM 651.930,2148,130,177,07/15 → 05/18
"A 250 BlueEFFICIENCY, Sport (W176)",M 270.920,1991,155,211,09/12 → 05/18
A 250 Sport (W176),M 270.920,1991,160,218,07/15 → 05/18
A 45 AMG (W176.052),M 133.980,1998,265,360,05/13 → 05/18
A 45 AMG (W176.052),M 133.980,1998,280,381,07/15 → 05/18
