Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
A 160 (W177.082),M 282.914,1332,80,109,07/18 →
A 160 d (W177.002),OM 608.915,1461,70,95,05/19 →
A 180 (W177.084),M 282.914,1332,100,136,07/18 →
A 180 Mild-Hybrid (V/W177.184),M 282.814,1332,100,136,10/22 →
A 180 d (W177.003),OM 608.915,1461,85,116,09/18 →
A 180 d (W177.010),"OM 654.820, OM 654.920",1950,85,116,10/20 →
A 200 (W177.087/088/188),M 282.914,1332,120,163,04/18 →
A 200 (W177.087),M 282.914,1332,110,150,06/18 →
A 200 Mild-Hybrid (V/W177.087/187),M 282.814,1332,120,163,10/22 →
A 200 d (W177.112),OM 654.920,1950,110,150,12/18 →
A 220 (W177.044/045),M 260.920,1991,140,190,07/18 → 10/19
A 220 Mild-Hybrid (V/W177.045/145),M 260.920,1991,140,190,10/22 →
A 220 d (W177.112),OM 654.920,1950,140,190,12/18 →
A 250 (W177.046/047),M 260.920,1991,165,224,04/18 →
A 250 Mild-Hybrid (V/W177.047/147),M 260.920,1991,165,224,10/22 →
A 250 e (V/W177.085/086/185),M 282.814/914,1332,160,218,08/19 →
A 35 AMG 4-Matic (W177.051/151),M 260.920,1991,225,306,09/18 →
A 35 AMG Mild-Hybrid4-Matic (W177.051/151),M 260.920,1991,225,306,10/22 →
AMG A 45 (W177.053),M 139.980,1991,285,387,07/19 →
AMG A 45 (W177.054),M 139.980,1991,310,421,07/19 →
