Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
B 150 (W245),M 266,1498,70,95,09/05 → 12/11
B 160 (W245),M 266,1498,70,95,04/09 → 12/11
B 170 (W245),M 266,1699,85,115,04/05 → 12/11
B 180 (W245),M 266,1699,85,115,04/09 → 12/11
B 180 CDI (W245),OM 640,1991,80,109,04/05 → 12/11
B 180 NGT (W245),M 266,2034,85,116,04/08 → 12/11
B 200 (W245),M 266,2034,100,136,04/05 → 12/11
B 200 CDI (W245),OM 640,1991,103,140,04/05 → 12/11
B 200 Turbo (W245),M 266,2034,142,193,04/05 → 12/11
B F-CELL (W245),,,77,105,01/10 → 12/11
