Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
C 180 (W202),M 111.921,1799,90,122,03/93 → 10/00
C 180 (W202),M 111.921,1799,89,121,11/94 → 10/00
C 180 T (S202),M 111,1998,95,130,09/00 → 04/01
C 200 (W202),M 111.945/941,1998,100,136,01/94 → 10/00
C 200 CDI (W202),OM 611,2151,75,102,06/98 → 04/01
C 200 D (W202),OM 601.913,1997,55,75,03/93 → 07/98
C 200 D (W202),OM 604.915,1997,65,88,10/96 → 07/98
C 200 Kompressor (W202),M 111.944,1998,132,180,10/95 → 12/96
C 200 Kompressor (W202),M 111.947,1998,141,192,11/96 → 06/00
C 200 T Kompressor (S202),M 111.956,1998,120,164,09/00 → 04/01
C 220 (W202),M 111.961,2199,110,150,03/93 → 09/96
C 220 CDI (W202),OM 611 DELA,2151,92,125,09/97 → 04/01
C 220 D (W202),OM 604.910,2197,70,95,08/93 → 04/98
C 220 D (W202),OM 604.910,2197,55,75,07/96 → 04/98
C 230 (W202),M 111.974,2295,110,150,06/96 → 06/97
C 230 Kompressor (W202),M 111.975,2295,142,193,10/95 → 12/00
C 240 V6 (W202/S202),M 112.910 / M 112.915,2398,125,170,06/97 → 03/01
C 250 D (W202),OM 605.910,2497,83,113,05/93 → 05/97
C 250 TD (W202),OM 605.960,2497,110,150,10/95 → 04/01
C 280 (W202),M 104.941,2799,142,193,05/93 → 05/97
C 280 V6 (W202),M 112.920,2799,145,197,06/97 → 04/01
C 36 AMG (W202),M 104.941 (AMG 3.6),3606,206,280,05/94 → 05/00
C 43 AMG (W202),M 113,4266,225,306,08/97 → 04/01
