Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
C 160 (C203),M 271,1796,90,122,04/05 → 12/07
C 180 (W/C/S203),M 111,1998,95,129,09/00 → 07/02
C 180 Kompressor (W/C/S203),M 271.946,1796,105,143,06/02 → 12/07
C 200 CDI (W/S203),OM 611.962,2148,85,115,09/00 → 08/03
C 200 CDI (W/S203),OM 611,2148,75,102,02/01 → 12/07
C 200 CDI (W/S203),OM 646,2148,90,122,07/03 → 12/07
C 200 CGI (W/C/S203),M 271.942,1796,125,170,08/02 → 12/07
C 200 Kompressor (W/C/S203),M 111.955,1998,120,163,05/00 → 05/02
C 200 Kompressor (W/C/S203),M 271.940,1796,120,163,06/02 → 12/07
C 220 CDI (W/C/S203),OM 611/646,2148,105,143,05/00 → 04/04
C 220 CDI (W/S203),OM 646,2148,100,136,08/06 → 12/07
C 220 CDI (W/S203),OM 646.963,2148,110,150,02/04 → 06/11
C 230 Kompressor (W203/C203),M 111.981/983,2295,145,197,11/00 → 05/02
C 230 Kompressor (W/C/S203),M 271.948,1796,141,192,06/02 → 06/05
C 230 V6 (W/C/S203),M 272.920,2496,150,204,05/05 → 12/07
C 240 (W203/S203),M 112.912/916,2597,125,170,05/00 → 07/05
C 270 CDI (W203/S203),OM 612.962,2685,125,170,11/00 → 05/05
C 280 (W/C/S203),M 272,2799,170,231,04/05 → 12/07
C 280 CDI (W/C/S203),OM 642,2987,140,190,07/05 → 12/07
C 30 CDI AMG (W/C/S203),OM 612.990,2950,170,231,11/02 → 01/05
C 32 AMG (W203/S203),M 112.961,3199,260,354,02/01 → 12/07
C 320 (W/C/S203),M 112.946/953,3199,160,218,05/00 → 05/05
C 320 CDI (W/C/S203),OM 642.910,2987,165,224,02/05 → 12/07
C 350 (W/C/S203),M 272,3498,200,272,02/05 → 12/07
C 55 AMG (W/S203),M 113.988,5439,270,367,03/04 → 12/07
