Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
C 160 (205),M 264.915,1595,95,129,05/18 →
C 160 (205),M 274.910,1595,95,129,04/15 →
C 180 (205),"M 274.910, M 270.910",1595,115,156,03/14 →
C 180 (205),"M 274.910, M 270.910",1595,110,150,11/18 →
C 180 (205),M 264.915,1595,115,156,05/18 →
C 180 BlueTEC (205),OM 626.951,1598,85,116,07/14 → 07/18
C 180 d (205),OM 654.916,1598,90,122,05/18 →
C 200 (205),M 274.920,1991,135,184,03/14 → 08/18
C 200 (205),M 264.915,1497,135,184,05/18 →
C 200 (205),M 264.920,1991,150,204,08/19 →
C 200 BlueTEC (205),OM 626.951,1598,100,136,07/14 → 07/18
C 200 EQ (205),M 264.915,1497,135,184,05/18 →
C 200 d (205),OM 651.921,2143,100,136,10/15 → 07/18
C 200 d 1.6 (205),OM 654.916,1598,118,160,05/18 →
C 200 d 2.0 (205),OM 654.916,1950,110,150,05/18 →
C 220 BlueTEC Efficiency Ed. (205),OM 651.921,2143,120,163,05/14 → 07/18
C 220 d (205),OM 654.920,1950,143,194,05/18 →
C 220 d / BlueTEC (205),OM 651.921,2143,125,170,03/14 → 07/18
C 250 (205),M 274.920,1991,155,211,05/14 → 05/18
C 250 d / BlueTEC (205),OM 651.921,2143,150,204,05/14 → 05/18
C 300 (205),M 264.920,1991,190,258,05/18 →
C 300 (205),M 264.920,1991,183,249,05/18 →
C 300 (205),M 274.920,1991,180,245,04/15 → 07/18
C 300 BlueTEC Hybrid (205),OM 651.921,2143,150,204,09/14 → 05/18
C 300 EQ Boost (205),M 264.920,1991,190,258,05/19 →
C 300 d (205),OM 654.920,1950,180,245,06/18 →
C 300 de (205),OM 654.920,1950,225,306,05/19 →
C 300 e (205),M 274.920,1991,235,320,07/19 →
C 350 e PLUG-IN HYBRID (205),M 274.920,1991,205,279,03/15 → 08/18
C 400 (205),M 276.823,2996,245,333,09/14 →
C 43 AMG (205),M 276.823,2996,287,390,05/18 →
C 450 AMG / C 43 AMG (205),M 276.823,2996,270,367,04/15 → 05/18
C 63 AMG (205),M 177.980,3982,350,476,10/14 →
C 63 S AMG (205),M 177.980,3982,375,510,10/14 →
