Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
CLA 180 (117.342),M 270.910,1595,90,122,03/13 → 03/19
"CLA 180 CDI, d (117.312)",OM 607.951,1461,80,109,09/13 → 05/18
CLA 200 (117.343),M 270.910,1595,115,156,03/13 → 03/19
CLA 200 (117.343),M 270.910,1595,110,150,07/18 → 03/19
CLA 200 CDI (117.301),OM 651.901,1796,100,136,09/13 → 08/14
"CLA 200 CDI (117.302, 117.308)",OM 651.930,2143,100,136,07/14 → 03/19
"CLA 220 4Matic (117.347, 117.947)",M 270.920,1991,135,184,03/16 → 03/19
CLA 220 CDI (117.303),OM 651.930,2148,125,170,03/13 → 03/19
CLA 220 CDI (117.303/305),OM 651.930,2148,130,177,09/14 → 03/19
"CLA 220 CDI / d (117.903, 117.905)",OM 651.930,2143,120,163,01/15 → 03/19
CLA 250 (117.344),M 270.920,1991,155,211,03/13 → 03/19
CLA 250 Sport (117.350/351/951),M 270.920,1991,160,218,07/15 → 03/19
CLA 45 AMG (117.352),M 133.980,1998,265,360,08/13 → 03/19
"CLA 45 AMG (117.352, 117.952)",M 133.980,1998,280,381,07/15 → 03/19
