Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
CLA 180 (W118),M 282.914,1332,100,136,03/19 →
CLA 180 Mild-Hybrid (W118),M 282.814,1332,100,136,03/23 →
CLA 180d (W118),OM 608.915,1461,85,116,03/19 →
CLA 180d (W118),"OM 654.820, OM 654.920",1950,85,116,10/20 →
CLA 200 (W118),M 282.914,1332,110,150,03/19 →
CLA 200 (W118),M 282.914,1332,120,163,03/19 →
CLA 200 Mild-Hybrid (W118),M 282.814,1332,120,163,03/23 →
CLA 200d (W118),OM 654.920,1950,110,150,03/19 →
CLA 220 (W118),M 260.920,1991,140,190,06/19 →
CLA 220 Mild-Hybrid (W118),M 260.920,1991,140,190,03/23 →
CLA 220d (W118),OM 654.920,1950,140,190,03/19 →
CLA 250 (W118),M 260.920,1991,165,224,03/19 →
CLA 250 Mild-Hybrid (W118),M 260.920,1991,165,224,03/23 →
CLA 250e (W118),"M 282.814, M 282.914",1332,160,218,06/20 →
CLA 35 AMG (W118),M 260.920,1991,225,306,03/19 →
CLA 35 AMG Mild-Hybrid (W118),M 260.920,1991,225,306,03/23 →
CLA 45 AMG (W118),M 139.980,1991,285,387,07/19 →
CLA 45 S AMG (W118),M 139.980,1991,310,421,07/19 →
