Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
CLK 200 CGI (209),M 271.942,1796,125,170,09/02 → 10/09
CLK 200 Kompressor (209.342/442),M 271.940,1796,120,163,09/02 → 06/06
CLK 200 Kompressor (209.341/441),M 271.955,1796,135,184,07/06 → 10/09
CLK 220 CDI (209),OM 646,2148,110,150,05/05 → 10/09
CLK 240 (209.361/461),M 112.912,2597,128,174,05/02 → 06/05
CLK 270 CDI (209.316),OM 612.962/967,2685,125,170,06/02 → 06/05
CLK 280 (209),M 272,2799,170,231,05/05 → 10/09
CLK 320 (209.365/465),M 112.955,3199,160,218,05/02 → 06/05
CLK 320 CDI (209),OM 642,2987,165,224,05/05 → 10/09
CLK 350 (209),M 272,3498,200,272,05/05 → 10/09
CLK 500 (209.375/475),M 113.968,4966,225,306,05/02 → 06/06
CLK 500 (209),M 273,5462,285,388,07/06 → 10/09
CLK 55 AMG (209.376/476),M 113.987,5439,270,367,09/02 → 10/09
CLK 63 AMG (209),M 156 E63 (M156.982),6208,354,481,03/06 → 09/07
CLK 63 AMG (209),M 156 E63,6208,372,507,06/07 → 10/09
CLK DTM AMG (209),M 113 E55 K,5439,428,582,06/04 → 10/09
