Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
200 G (W460),M 102.964,1997,80,109,07/82 → 08/89
230 G (W460.3-463),M 115.973,2277,66,90,03/79 → 03/82
230 G (460.2),M 115.973,2277,75,102,02/80 → 07/87
230 GE (W460.3-463),M 102.981/987,2276,92,125,04/82 → 08/85
230 GE (W460.3-463),M 102.987/998,2276,90,122,03/86 → 08/92
230 GE (W460.3-463),M 102.989,2298,93,126,09/88 → 02/93
240 GD (W460.3-463),OM 616.936/938,2350,53,72,03/79 → 08/87
250 GD (W460.3-463),OM 602.930,2497,62,84,10/87 → 07/93
250 GD (460.3),OM 602.939,2497,68,92,12/88 → 08/92
280 GE (W460.3-463),M 110.994,2717,115,156,11/79 → 08/89
280 GE (W460.3-463),M 110.994,2717,110,150,08/84 → 08/89
300 GD (W460.3-463),OM 617.931/932,2938,65,88,12/79 → 08/90
