Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
180 (H247),M282.914,1332,100,136,04/20 →
180 Mild-Hybrid (H247),M282.814,1332,100,136,07/23 →
180 d (H247),OM 654.920,1950,85,116,03/20 →
200 (H247),M282.914,1332,120,163,02/20 →
200 Mild-Hybrid (H247),M282.814,1332,120,163,03/23 →
200 d (H247),OM 654.920,1950,110,150,02/20 →
220 Mild-Hybrid (H247),M247.745,1991,140,190,03/23 →
220 d (H247),OM 654.920,1950,140,190,02/20 →
250 (H247),M260.920,1991,165,224,02/20 →
250 Mild-Hybrid (H247),M260.920,1991,165,224,03/23 →
250 e (H247),"M282.814, M282.914",1332,160,218,06/20 →
35 AMG (H247),M260.920,1991,225,306,06/20 →
35 AMG Mild-Hybrid (H247),M260.920,1991,225,306,03/23 →
45 AMG (H247),M 139.980,1991,285,387,06/20 →
45 AMG S (H247),M 139.980,1991,310,421,06/20 →
