Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
F-CELL (253.992/993),,,80,109,04/20 →
F-CELL (253.992/993),,,155,211,04/20 →
GLC 200 EQ Boost (253),M 264.920,1991,145,197,06/19 →
GLC 200 Mild-Hybrid (253),M 274.920,1991,145,197,05/22 →
GLC 200 d (253),OM 654.920,1950,120,163,06/19 →
GLC 220 d (253),OM 651.921,2143,120,163,08/15 → 04/19
GLC 220 d (253),OM 651.921,2143,125,170,08/15 → 04/19
GLC 220 d (253),OM 654.920,1950,143,194,06/19 →
GLC 250 (253),M 274.920,1991,155,211,08/15 → 04/19
GLC 250 d (253),OM 651.921,2143,150,204,08/15 → 04/19
GLC 300 (253),M 274.920,1991,180,245,08/15 → 04/19
GLC 300 EQ Boost (253),M 264.920,1991,190,258,06/19 →
GLC 300 Mild-Hybrid (253),M 274.920,1991,190,258,05/22 →
GLC 300 d (253),OM 654.920,1950,180,245,06/19 →
GLC 300 de (253),OM 654.920,1950,225,306,05/20 →
GLC 300 e (253.953),M 274.920,1991,235,320,11/19 →
GLC 350 d (253.325/925),OM 642.873,2987,190,258,10/16 → 04/19
GLC 350 e PLUG-IN HYBRID (253),M 274.920,1991,235,320,11/15 → 04/19
GLC 400 d (253),OM 654.929,2925,243,330,08/19 →
GLC 43 AMG (253),M 276.823,2996,270,367,11/15 → 08/19
GLC 43 AMG (253),M 276.823,2996,287,390,08/19 →
GLC 63 AMG (253.388/988),M 177.980,3982,350,476,09/17 →
GLC 63 S AMG (253.389/989),M 177.980,3982,375,510,09/17 →
