Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
GLE 250 d (W166),OM 651.960,2143,150,204,04/15 → 10/18
GLE 320 (W166),M 276.821,2996,200,272,10/15 → 10/18
GLE 350 d (W166),OM 642.826,2987,190,258,04/15 → 10/18
GLE 350 d (W166),OM 642.826,2987,183,249,04/15 → 10/18
GLE 400 (W166),M 276.821,2996,245,333,04/15 → 10/18
GLE 43 AMG (W166),M 276.821,2996,270,367,06/16 → 10/18
GLE 450 AMG (W166),M 276.821,2996,270,367,11/15 → 10/18
GLE 500 (W166),M 278.928,4663,320,435,04/15 → 10/18
GLE 500 (W166),M 278.928,4663,335,455,04/15 → 10/18
GLE 500 e (W166),M 276.821,2996,330,449,04/15 → 10/18
GLE 63 AMG (W166),M 157.982,5496,410,557,04/15 → 10/18
GLE 63 AMG S (W166),M 157.982,5496,430,585,04/15 → 10/18
