Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
300d 4MATIC (W167.119),OM 654.920,1950,180,245,12/18 →
"300d 4MATIC (W167.109, W167.309)",OM 654.820,1992,198,269,03/23 →
300d EQ Boost (W167.119),OM 654.820,1993,200,272,06/21 →
350 de (W167),OM 654.920,1950,225,306,03/20 →
350 de (W167),OM 654.920,1950,235,320,03/20 →
350 e (W167),M 274.920,1991,245,333,06/20 →
350d 4MATIC (W167),OM 656.929,2925,183,249,10/21 →
350d 4MATIC (W167.121),OM 656.929,2925,200,272,02/19 →
350d 4MATIC (W167.921),OM 656.929,2925,210,286,04/19 →
350d 4MATIC Mild-Hybrid (W167.931),M 656.830,2989,230,313,05/23 →
"350de 4MATIC (W167.106, W167.306)",OM 654.820,1992,245,333,03/23 →
"400 e 4MATIC (W167.146, W167.346)",M 254.920,1999,280,381,03/23 →
"400d 4MATIC (W167.123, W167.923)",OM 656.929,2925,243,330,02/19 →
450 4MATIC (W167.159),M 256.930,2987,270,367,12/18 →
450 4MATIC (W167.159),M 256.830,2999,280,381,03/23 →
450 4MATIC Mild-Hybrid (W167.159),M 256.830,2999,280,381,04/23 →
450 EQ Boost 4MATIC (W167),M 256.930,2987,270,367,10/18 →
450d 4MATIC Mild-Hybrid (W167.133),OM 656.830,2989,272,370,03/23 →
450d 4MATIC Mild-Hybrid (W167.933),OM 656.830,2989,270,367,04/23 →
580 EQ Boost (W167),M 176.980,,360,489,11/19 →
600 Maybach EQ Boost 4MATIC (W167.987),M 177.980,3982,410,557,11/19 →
AMG 53 (W167.161),M 256.930,2999,320,435,12/18 →
AMG 63 (W167.188),M 177.980,3982,420,571,11/19 →
AMG 63 EQ Boost 4-Matic+ (W167.188),M 177.980,3982,420,571,11/19 →
AMG 63 EQ Boost 4MATIC+ (W167.189),M 177.980,3982,450,612,11/19 →
AMG 63 S EQ Boost 4MATIC (W167.189),M 177.980,3982,450,612,11/19 →
